time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:18:32,BLE,AB7B8E8A-1F38-4B68-9E55-19F2339D699A,,2,,,,,,ql8F4g
2022-11-29 22:18:32,BLE,F47B4BC0-086E-48CE-99F2-AC5CA64D6D91,,,3,,,,,RSSI:-72.0
2022-11-29 22:18:33,BLE,F47B4BC0-086E-48CE-99F2-AC5CA64D6D91,,,3,,,,,RSSI:-71.0
2022-11-29 22:18:33,BLE,AB7B8E8A-1F38-4B68-9E55-19F2339D699A,,,3,,,,,RSSI:-71.0
2022-11-29 22:18:33,BLE,F47B4BC0-086E-48CE-99F2-AC5CA64D6D91,,2,,,,,,ql8F4g
2022-11-29 22:21:48,BLE,4924DEF8-3E09-4B23-99C0-6299EC0612D1,1,,,,,,,
2022-11-29 22:21:49,BLE,4924DEF8-3E09-4B23-99C0-6299EC0612D1,,2,,,,,,ZqFdag
2022-11-29 22:21:52,BLE,4924DEF8-3E09-4B23-99C0-6299EC0612D1,,,3,,,,,RSSI:-59.0
2022-11-29 22:21:54,BLE,4924DEF8-3E09-4B23-99C0-6299EC0612D1,,,3,,,,,RSSI:-68.0
2022-11-29 23:55:24,BLE,FE8A2B0D-746E-49FD-8C10-65E11BBB5CAC,,2,,,,,,ZqFdag
2022-11-29 23:55:32,BLE,FE8A2B0D-746E-49FD-8C10-65E11BBB5CAC,,,3,,,,,RSSI:-59.0