time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,1,,,,,
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,1,,,,,
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:07,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:07,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:01:08,BLE,42:AF:48:1F:7E:B3,,,3,,,RSSI:-64.0
2020-08-11 20:01:08,BLE,5A:0B:DE:20:C1:35,,,3,,,RSSI:-65.0
2020-08-11 20:08:51,BLE,70:E2:2E:FC:6A:38,1,,,,,
2020-08-11 20:09:03,BLE,5A:6F:6C:BB:20:69,1,,,,,
2020-08-11 20:09:53,BLE,6A:1E:A0:08:E6:05,1,,,,,
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,5A:6F:6C:BB:20:69,,,3,,,RSSI:-89.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,40:FC:56:F9:E4:AA,1,,,,,
2020-08-11 20:10:04,BLE,40:FC:56:F9:E4:AA,,,3,,,RSSI:-93.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:04,BLE,40:FC:56:F9:E4:AA,,,3,,,RSSI:-93.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,7D:BD:40:25:7F:B1,1,,,,,
2020-08-11 20:10:05,BLE,7D:BD:40:25:7F:B1,,,3,,,RSSI:-90.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,40:FC:56:F9:E4:AA,,,3,,,RSSI:-93.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,7D:BD:40:25:7F:B1,,,3,,,RSSI:-90.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,40:FC:56:F9:E4:AA,,,3,,,RSSI:-93.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,6A:1E:A0:08:E6:05,,,3,,,RSSI:-88.0
2020-08-11 20:10:05,BLE,61:B7:34:99:53:E8,1,,,,,
2020-08-11 20:10:05,BLE,61:B7:34:99:53:E8,,,3,,,RSSI:-83.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,70:E2:2E:FC:6A:38,,,3,,,RSSI:-54.0
2020-08-11 20:10:05,BLE,7D:BD:40:25:7F:B1,,,3,,,RSSI:-90.0
2020-08-11 20:10:38,BLE,40:FC:56:F9:E4:AA,,2,,,,mL6p9g
2020-08-11 20:10:41,BLE,70:E2:2E:FC:6A:38,,2,,,,Ku1nMg
2020-08-11 20:10:43,BLE,7D:BD:40:25:7F:B1,,2,,,,zTWWcw
2020-08-11 20:11:32,BLE,69:1B:53:20:1C:5A,1,,,,,
2020-08-11 20:12:49,BLE,6B:FC:6D:EC:38:E1,1,,,,,
2020-08-11 20:14:06,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:14:10,BLE,7D:BD:40:25:7F:B1,,,,4,,[Ku1nMg]
2020-08-11 20:14:10,BLE,51:97:BF:1F:EC:65,1,,,,,
2020-08-11 20:16:15,BLE,5A:14:75:8C:4D:38,1,,,,,
2020-08-11 20:17:12,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:17:18,BLE,7D:BD:40:25:7F:B1,,,,4,,[Ku1nMg]
2020-08-11 20:17:55,BLE,4E:EF:91:97:90:23,1,,,,,
2020-08-11 20:19:24,BLE,7D:7C:BA:EC:F9:71,1,,,,,
2020-08-11 20:19:49,BLE,70:E2:2E:FC:6A:38,,,,4,,[]
2020-08-11 20:20:36,BLE,40:83:14:A6:21:BE,1,,,,,
2020-08-11 20:22:20,BLE,47:16:01:92:CC:23,1,,,,,
2020-08-11 20:22:27,BLE,40:FC:56:F9:E4:AA,,,,4,,[Ku1nMg]
2020-08-11 20:22:30,BLE,7D:BD:40:25:7F:B1,,,,4,,[Ku1nMg]
2020-08-11 20:23:21,BLE,4F:B6:F3:EE:B9:11,1,,,,,
2020-08-11 20:24:36,BLE,7E:30:2F:77:37:C4,1,,,,,
2020-08-11 20:25:31,BLE,51:8F:DF:C2:32:59,1,,,,,
2020-08-11 20:27:02,BLE,4E:D7:BB:A4:B6:E6,1,,,,,
2020-08-11 20:28:17,BLE,5A:8C:54:B0:37:37,1,,,,,
2020-08-11 20:29:43,BLE,52:44:CD:9A:8E:8A,1,,,,,
2020-08-11 20:31:18,BLE,7F:8E:2B:ED:32:5F,1,,,,,
2020-08-11 20:32:43,BLE,72:3C:08:4A:E6:BE,1,,,,,
2020-08-11 20:34:23,BLE,52:8B:F5:D5:F9:74,1,,,,,
2020-08-11 20:36:26,BLE,44:6C:62:F8:A4:38,1,,,,,
2020-08-11 20:37:42,BLE,65:8E:6C:6D:AC:C7,1,,,,,
2020-08-11 20:38:11,BLE,67:FA:7D:93:56:17,1,,,,,
2020-08-11 20:39:01,BLE,56:BD:C1:45:AD:10,1,,,,,
